median_income,zip
156741,Central
122556,Central
126145,Stream
83713,of
37332,10451
35155,10452
33760,10453
30076,10454
33920,10455
35269,10456
38096,10457
38624,10458
35536,10459
33282,10460
68066,10461
59538,10462
66470,10463
132596,10464
95996,10465
67912,10466
46530,10467
41488,10468
73973,10469
71506,10470
114241,10471
38655,10472
51096,10473
25429,10474
67383,10475
64676,10550
81712,11370
176004,11201
68184,11203
58848,11204
60319,11205
38430,11206
51643,11207
50726,11208
101737,11209
80453,11210
63639,11211
41115,11212
51262,11213
64478,11214
170511,11215
79242,11216
145365,11217
80422,11218
41839,11219
47150,11220
61331,11221
105557,11222
65254,11223
43584,11224
65968,11225
65178,11226
84054,11228
81481,11229
66240,11230
141500,11231
58913,11232
48545,11233
95976,11234
71542,11235
82853,11236
43640,11237
118291,11238
34528,11239
-,11425
122776,10001
40045,10002
183787,10003
205202,10004
241094,10005
245764,10006
"250,000+",10007
71135,10009
229709,10010
249545,10011
151028,10012
163951,10013
224625,10014
206816,10016
218875,10017
185688,10018
176972,10019
-,10020
240453,10021
"250,000+",10022
228389,10023
246034,10024
133439,10025
66157,10026
58680,10027
237537,10028
39845,10029
53586,10030
54699,10031
58919,10032
66075,10033
56284,10034
36645,10035
112342,10036
51536,10037
93156,10038
44253,10039
56530,10040
121453,10044
246005,10065
200150,10069
177237,10075
-,10103
-,10110
-,10111
-,10112
-,10115
-,10119
192940,10128
-,10152
-,10153
-,10154
"250,000+",10162
-,10165
-,10167
-,10168
-,10169
-,10170
-,10171
-,10172
-,10173
-,10174
-,10177
-,10199
-,10271
-,10278
-,10279
247627,10280
"250,000+",10282
66470,10463
134087,11001
107141,11003
110406,11004
139313,11005
142316,11040
82636,11101
75440,11102
81250,11103
76895,11104
90013,11105
78526,11106
199823,11109
-,11351
47405,11354
45619,11355
66463,11356
98213,11357
78357,11358
-,11359
107188,11360
97203,11361
121625,11362
128009,11363
98424,11364
75409,11365
93913,11366
72975,11367
51779,11368
64000,11369
81712,11370
-,11371
62626,11372
58918,11373
87591,11374
109994,11375
64678,11377
87242,11378
102200,11379
76414,11385
113769,11411
94103,11412
99229,11413
89181,11414
86948,11415
75471,11416
85046,11417
72047,11418
79508,11419
82528,11420
78779,11421
92304,11422
82156,11423
-,11424
115136,11426
96292,11427
88320,11428
97941,11429
-,11430
67198,11432
65591,11433
81641,11434
70354,11435
79740,11436
-,11451
136843,11581
61360,11691
50516,11692
66250,11693
111046,11694
123438,11697
82267,10301
93750,10302
74187,10303
73135,10304
95406,10305
96131,10306
113839,10307
113498,10308
126350,10309
90379,10310
-,10311
113327,10312
107154,10314
